LAT,LON,M2,USD,NEIGHBORHOOD,COMMUNE,YEAR
-58.39578488697383,-34.620491616091016,460.0,330000.0,SAN CRISTOBAL,3,2014
-58.39573017952872,-34.62545185798725,406.0,340000.0,SAN CRISTOBAL,3,2014
-58.40721717249456,-34.623078250281246,305.0,340000.0,SAN CRISTOBAL,3,2014
-58.39573017952872,-34.62545185798725,320.0,344500.0,SAN CRISTOBAL,3,2014
-58.3943000695455,-34.62750538568122,145.0,345000.0,SAN CRISTOBAL,3,2014
-58.410779155397684,-34.62143733370916,277.0,379000.0,SAN CRISTOBAL,3,2014
-58.40631441990582,-34.621830703282754,306.0,380000.0,SAN CRISTOBAL,3,2014
-58.39332433409413,-34.626435478572475,226.0,380000.0,SAN CRISTOBAL,3,2014
-58.40631441990582,-34.621830703282754,380.0,385000.0,SAN CRISTOBAL,3,2014
-58.40651371439734,-34.629167638325896,212.0,385000.0,SAN CRISTOBAL,3,2014
-58.4064084238971,-34.620556082523656,475.0,390000.0,SAN CRISTOBAL,3,2014
-58.40721717249456,-34.623078250281246,468.0,390000.0,SAN CRISTOBAL,3,2014
-58.40721717249456,-34.623078250281246,394.0,390000.0,SAN CRISTOBAL,3,2014
-58.401378228102296,-34.622172402384884,339.0,430000.0,SAN CRISTOBAL,3,2014
-58.39246936038133,-34.62647119026981,463.0,450000.0,SAN CRISTOBAL,3,2014
-58.40758506733392,-34.62073674345152,283.0,450000.0,SAN CRISTOBAL,3,2014
-58.39680461218104,-34.62794836489471,272.0,450000.0,SAN CRISTOBAL,3,2014
-58.395804420314654,-34.62176186330695,208.0,450000.0,SAN CRISTOBAL,3,2014
-58.4064084238971,-34.620556082523656,450.0,460000.0,SAN CRISTOBAL,3,2014
-58.39992447695703,-34.619558468084364,306.0,480000.0,SAN CRISTOBAL,3,2014
-58.398585428118494,-34.62826608709652,300.0,500000.0,SAN CRISTOBAL,3,2014
-58.40990599453304,-34.62975634411871,326.0,520000.0,SAN CRISTOBAL,3,2014
-58.394926341836396,-34.622809629999644,218.0,560000.0,SAN CRISTOBAL,3,2014
-58.406156185718146,-34.62168070768812,203.0,600000.0,SAN CRISTOBAL,3,2014
-58.39728313704837,-34.62561178448595,1060.0,600000.0,SAN CRISTOBAL,3,2014
-58.4064084238971,-34.620556082523656,676.0,600000.0,SAN CRISTOBAL,3,2014
-58.40337197018928,-34.61982414024662,360.0,600000.0,SAN CRISTOBAL,3,2014
-58.40666507276577,-34.62798103903184,1100.0,670000.0,SAN CRISTOBAL,3,2014
-58.39445806239757,-34.62155755495413,472.0,850000.0,SAN CRISTOBAL,3,2014
-58.39573017952872,-34.62545185798725,1156.0,900000.0,SAN CRISTOBAL,3,2014
-58.40666507276577,-34.62798103903184,750.0,900000.0,SAN CRISTOBAL,3,2014
-58.399295017577664,-34.62328409898116,500.0,1300000.0,SAN CRISTOBAL,3,2014
